Visitantes,Dia,Mes,Ano,Day of the week,COVID,Season,Event,Total Turistas
1196,6,4,2019,Saturday,0,Spring,0,23264.166666666668
734,7,4,2019,Sunday,0,Spring,0,23264.166666666668
1152,8,4,2019,Monday,0,Spring,0,23264.166666666668
1188,9,4,2019,Tuesday,0,Spring,0,23264.166666666668
1168,10,4,2019,Wednesday,0,Spring,0,23264.166666666668
1169,11,4,2019,Thursday,0,Spring,0,23264.166666666668
1201,12,4,2019,Friday,0,Spring,0,23264.166666666668
1630,13,4,2019,Saturday,0,Spring,0,23264.166666666668
1112,14,4,2019,Sunday,0,Spring,1,23264.166666666668
1632,15,4,2019,Monday,0,Spring,1,23264.166666666668
1592,16,4,2019,Tuesday,0,Spring,1,23264.166666666668
1487,17,4,2019,Wednesday,0,Spring,1,23264.166666666668
1323,21,4,2019,Sunday,0,Spring,0,23264.166666666668
1533,22,4,2019,Monday,0,Spring,0,23264.166666666668
1549,23,4,2019,Tuesday,0,Spring,0,23264.166666666668
999,24,4,2019,Wednesday,0,Spring,0,23264.166666666668
1527,25,4,2019,Thursday,0,Spring,0,23264.166666666668
1397,26,4,2019,Friday,0,Spring,0,23264.166666666668
1286,27,4,2019,Saturday,0,Spring,0,23264.166666666668
849,28,4,2019,Sunday,0,Spring,0,23264.166666666668
1089,29,4,2019,Monday,0,Spring,0,23264.166666666668
1086,30,4,2019,Tuesday,0,Spring,0,23264.166666666668
1536,1,5,2019,Wednesday,0,Spring,0,25442.548387096773
1082,2,5,2019,Thursday,0,Spring,0,25442.548387096773
1141,3,5,2019,Friday,0,Spring,0,25442.548387096773
1370,4,5,2019,Saturday,0,Spring,0,25442.548387096773
1030,5,5,2019,Sunday,0,Spring,0,25442.548387096773
927,6,5,2019,Monday,0,Spring,0,25442.548387096773
814,7,5,2019,Tuesday,0,Spring,0,25442.548387096773
646,8,5,2019,Wednesday,0,Spring,0,25442.548387096773
842,9,5,2019,Thursday,0,Spring,0,25442.548387096773
908,10,5,2019,Friday,0,Spring,0,25442.548387096773
1093,11,5,2019,Saturday,0,Spring,0,25442.548387096773
633,12,5,2019,Sunday,0,Spring,0,25442.548387096773
629,13,5,2019,Monday,0,Spring,0,25442.548387096773
711,14,5,2019,Tuesday,0,Spring,0,25442.548387096773
636,15,5,2019,Wednesday,0,Spring,0,25442.548387096773
800,16,5,2019,Thursday,0,Spring,0,25442.548387096773
911,17,5,2019,Friday,0,Spring,0,25442.548387096773
1136,18,5,2019,Saturday,0,Spring,0,25442.548387096773
1143,19,5,2019,Sunday,0,Spring,0,25442.548387096773
991,20,5,2019,Monday,0,Spring,0,25442.548387096773
773,21,5,2019,Tuesday,0,Spring,0,25442.548387096773
733,22,5,2019,Wednesday,0,Spring,0,25442.548387096773
796,23,5,2019,Thursday,0,Spring,0,25442.548387096773
1056,24,5,2019,Friday,0,Spring,0,25442.548387096773
997,25,5,2019,Saturday,0,Spring,0,25442.548387096773
839,26,5,2019,Sunday,0,Spring,0,25442.548387096773
847,27,5,2019,Monday,0,Spring,0,25442.548387096773
931,28,5,2019,Tuesday,0,Spring,0,25442.548387096773
